Zip,NumTotal,NumRetired,NumDisabled,NumWidowerorParent,NumSpouses,NumChildren,BenTotal,BenRetired,BenWidowerorParent,NumSeniors
"76856",985,700,90,90,60,45,1010,757,98,790
"76858",65,50,5,5,5,0,66,53,5,55
"76859",605,410,65,60,40,30,570,411,57,465
"76861",390,260,40,35,30,25,400,288,39,295
"76862",70,60,5,0,5,0,77,70,0,60
"76865",35,25,5,5,0,0,35,25,2,25
"76866",145,100,15,15,10,5,161,115,22,115
"76869",55,40,5,5,5,0,55,40,9,45
"76872",230,155,25,20,15,15,245,174,27,170
"76874",35,30,0,0,5,0,30,28,0,30
"76875",180,120,20,25,15,0,187,131,32,145
"76887",35,30,0,5,0,0,37,31,3,30
"76901",5000,3145,765,485,245,360,5279,3601,537,3485
"76902",600,375,100,60,20,45,639,434,61,390
"76903",6360,3740,1165,635,290,530,6013,3829,632,4200
"76904",5780,4085,510,540,335,310,6779,5089,658,4535
"76905",1690,1080,255,130,75,150,1723,1191,134,1130
"76906",295,215,20,30,20,10,344,264,33,235
"76930",40,15,5,10,5,5,38,18,10,25
"76932",440,255,60,60,30,35,479,297,61,325
"76933",355,225,45,35,30,20,368,254,36,260
"76934",360,165,50,15,5,125,319,168,18,180
"76935",325,215,45,30,20,15,366,264,30,230
"76936",520,300,70,70,50,30,518,317,73,385
"76937",55,35,5,5,5,5,49,36,3,45
"76939",45,35,10,0,0,0,48,36,0,35
"76940",40,25,5,0,10,0,37,26,0,30
"76941",280,190,30,30,15,15,305,224,31,210
"76943",675,420,75,75,60,45,670,447,83,500
"76945",515,345,55,55,35,25,562,400,65,405
"76950",695,440,65,80,65,45,700,482,83,535
"76951",230,140,30,25,15,20,226,149,24,155
"76953",30,20,5,0,0,5,34,24,0,20
"76955",20,15,0,0,5,0,25,21,0,20
"76957",35,25,0,5,0,5,39,28,5,25
"76958",70,45,10,5,5,5,72,50,8,45
"79566",90,70,5,10,5,0,95,76,8,75
"79567",870,550,130,95,40,55,875,597,98,625
"78109",4725,2140,1130,355,215,885,4492,2378,357,2255
"78148",3410,2110,495,305,230,270,3614,2434,341,2340
"78152",510,330,65,40,35,40,564,397,45,355
"78209",7145,4690,730,885,460,380,8819,6248,1201,5695
"78212",4945,3095,935,415,210,290,4882,3298,424,3380
"78213",6685,4020,1145,625,340,555,6843,4543,684,4550
"78216",5840,3745,820,570,285,420,6508,4573,666,4270
"78217",5435,3210,910,540,285,490,5872,3858,611,3685
"78218",5805,3155,1215,545,325,565,5578,3440,560,3640
"78230",6635,4695,630,520,430,360,8065,6181,646,5265
"78231",1545,1150,105,125,95,70,1980,1560,159,1270
"78232",6030,4370,495,490,380,295,7569,5848,615,4760
"78233",6950,3980,1220,590,380,780,7082,4459,645,4395
"78234",290,45,130,10,20,85,236,51,10,50
"78239",6260,3720,960,585,420,575,6512,4344,658,4320
"78244",3555,1630,910,195,155,665,3317,1780,193,1660
"78246",90,60,15,5,0,10,108,84,5,55
"78247",5880,3570,930,450,265,665,6478,4286,522,3735
"78248",2045,1515,140,135,140,115,2748,2190,177,1625
"78257",760,570,55,35,65,35,1066,869,45,620
"78258",3970,2760,300,345,260,305,5014,3736,443,3030
"78259",2535,1725,270,165,145,230,3116,2293,197,1775
"78260",2605,1810,265,160,130,240,3200,2390,192,1795
"78261",1045,695,140,50,50,110,1287,928,58,685
"78265",285,155,70,20,10,30,313,178,21,160
"78270",190,125,20,15,15,15,218,160,17,135
"78278",200,130,30,15,15,10,253,182,19,145
"78279",85,50,15,5,5,10,102,68,7,55
"78283",310,140,85,20,15,50,253,141,12,150
"78291",25,15,10,0,0,0,19,9,0,15
"78292",30,20,5,5,0,0,22,18,1,20
"78293",15,10,0,0,5,0,12,8,0,10
"78294",15,10,5,0,0,0,14,10,0,10
"78295",35,15,15,5,0,0,27,10,3,20
"78296",30,15,5,5,0,5,29,15,7,20
"78297",25,15,5,5,0,0,18,12,2,15
"78298",15,10,5,0,0,0,15,6,0,10
"78299",20,10,5,0,0,5,11,7,0,15
"78009",1410,880,205,115,85,125,1463,990,116,955
"78016",2030,1070,370,185,120,285,1830,1078,175,1255
"78023",2930,2000,330,205,160,235,3408,2498,241,2070
"78039",360,215,55,45,20,25,331,207,45,260
"78056",275,190,35,10,25,15,300,222,14,195
"78059",880,450,200,80,50,100,787,446,69,515
"78066",115,85,15,10,5,0,136,96,13,85
"78226",1205,620,255,125,80,125,933,514,104,740
"78227",7635,3820,1530,750,515,1020,6400,3643,672,4570
"78228",10860,6125,2035,995,690,1015,9347,5712,891,7030
"78229",3480,1910,765,345,135,325,3665,2282,386,2150
"78236",30,5,5,0,0,20,16,4,0,5
"78237",7165,3440,1545,805,540,835,5417,2800,654,4305
"78238",3695,2200,685,305,170,335,3526,2264,302,2405
"78240",6405,3995,1065,515,320,510,6909,4624,586,4410
"78245",6690,3330,1420,525,380,1035,6189,3511,510,3645
"78249",4855,3065,745,350,245,450,5473,3757,414,3245
"78250",6170,3400,1235,460,270,805,6252,3790,483,3500
"78251",4485,2380,920,310,215,660,4445,2624,319,2425
"78253",3635,2210,610,225,165,425,3914,2622,251,2200
"78254",3885,2225,655,255,205,545,4033,2580,280,2280
"78255",1300,940,110,70,80,100,1597,1254,86,985
"78256",430,290,45,25,25,45,556,411,31,295
"78268",140,80,35,10,5,10,151,92,10,90
"78269",160,100,25,10,10,15,178,125,12,105
"78280",45,30,5,5,5,0,51,40,3,35
"78850",260,155,30,35,20,20,255,168,36,180
"78861",2325,1425,340,260,120,180,2287,1511,260,1620
"78886",150,100,15,10,10,15,135,97,10,100
"78002",1155,565,255,100,85,150,1020,559,93,655
"78005",150,95,15,15,15,10,145,98,16,115
"78008",80,50,5,15,10,0,76,49,14,70
"78011",405,195,75,55,30,50,349,184,48,245
"78012",90,50,15,10,10,5,83,47,8,55
"78017",660,355,95,90,45,75,534,324,72,450
"78026",1065,585,190,120,75,95,1055,635,124,700
"78050",210,90,45,20,20,35,176,83,21,105
"78052",1195,645,215,115,75,145,1118,671,110,735
"78054",95,50,25,10,5,5,85,47,5,55
"78057",195,120,30,15,10,20,185,119,16,130
"78061",1685,870,300,200,125,190,1389,786,178,1065
"78064",2605,1510,410,280,170,235,2564,1654,286,1755
"78065",1950,925,455,170,140,260,1692,892,148,1055
"78069",900,440,200,70,70,120,781,438,64,505
"78073",1355,635,315,135,85,185,1162,599,122,740
"78101",1505,960,250,110,70,115,1586,1065,107,975
"78112",1350,630,370,105,70,175,1232,652,92,675
"78210",6730,3440,1655,585,345,705,5656,3147,499,3855
"78211",5405,2670,1125,570,445,595,4271,2269,485,3250
"78214",4475,2155,1000,485,305,530,3590,1904,405,2630
"78220",4280,2245,1025,360,120,530,3756,2207,313,2505
"78221",6320,3200,1340,640,440,700,5255,2912,556,3765
"78222",3280,1770,710,275,145,380,3117,1871,254,1905
"78223",8450,4170,1875,715,385,1305,7383,4079,668,4650
"78224",3200,1550,715,290,215,430,2618,1406,249,1760
"78225",2580,1430,505,260,170,215,2086,1231,224,1680
"78235",35,20,5,0,5,5,33,19,0,20
"78242",3880,1775,940,330,260,575,3103,1599,287,2080
"78252",510,215,150,45,30,70,446,204,42,255
"78263",785,520,120,65,35,45,881,615,74,555
"78264",1930,925,475,140,120,270,1700,930,123,995
"78606",1255,915,130,90,65,55,1420,1100,97,940
"78610",2945,1890,435,210,115,295,3365,2348,242,1920
"78616",1025,620,200,60,35,110,1080,713,69,630
"78619",460,350,35,20,25,30,576,458,28,345
"78620",2080,1510,200,140,100,130,2595,1984,171,1555
"78622",105,60,20,15,0,10,112,74,10,70
"78635",50,35,5,0,10,0,54,39,0,40
"78636",835,595,80,90,40,30,935,704,104,625
"78640",3810,2075,785,275,160,515,3892,2348,297,2100
"78644",2830,1790,420,275,125,220,2858,1954,275,1945
"78648",1575,955,270,155,90,105,1587,1038,160,1105
